designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 66713971822766208",66713971822766208,56.86337622959932,24.066363722871316,0.9291141462005974,-0.36869949650574774,-1.1894092563983707,1.0810527,19.091259,1.2594967,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66713971823084160",66713971823084160,56.86722052603474,24.057876858042132,1.4821907021481042,-0.6248094293206209,-1.091634462556348,1.0912085,20.54006,0.72182655,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66713971823085312",66713971823085312,56.8640089923694,24.06598850327848,,,,,20.993958,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66714040542241920",66714040542241920,56.85781919198842,24.07537970066143,0.05352354884863241,0.5589519738665242,0.7384723299973414,1.1052873,19.803144,1.2785873,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66714177981190016",66714177981190016,56.87191622115924,24.087486121621573,-0.20886640898712214,0.520597149238131,-0.7852401134010156,1.0962037,19.763596,0.90945435,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66714242407113088",66714242407113088,56.84417719866173,24.07670929024956,0.6366701787298602,4.128291217123797,-5.920200702349285,1.0705692,16.887772,1.2687626,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4706.753,4.7615,-1.0807,797.5706,0.2846,0.2225,0.1194
"Gaia DR3 66714246702832128",66714246702832128,56.8367609363885,24.080345816143993,1.933070467694074,-3.9964298114240395,-7.575071779264453,1.1112877,12.631272,1.2979126,-26.214918,"NOT_AVAILABLE",0,true,true,true,false,false,false,true,,,,,,,
"Gaia DR3 66714281062569600",66714281062569600,56.85831297825326,24.09113849428959,0.10550728390826611,1.5652545729943106,0.18006261006814583,1.0609509,15.711439,1.3117914,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 66714281062596736",66714281062596736,56.85273970848359,24.09129593575219,1.8006612079289792,-4.158845011450817,-12.28731649851839,1.0652202,13.740361,1.1672497,-128.49852,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5649.5444,4.2695,-0.0169,533.4189,0.8054,0.6538,0.3509
"Gaia DR3 66714315420148224",66714315420148224,56.840577475434486,24.090873634137548,0.1580615922532367,-1.3119240692348655,-0.4158422460321798,0.9090416,19.765078,1.1041908,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66714384139954816",66714384139954816,56.862005757399984,24.09750994982646,,,,,20.87475,0.15673828,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66714384141811712",66714384141811712,56.85677438391798,24.10426661074444,1.9847748653778396,50.26094847966394,-28.844458331233383,1.053347,15.897184,1.5220671,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4538.7393,4.676,-0.5127,440.1642,0.7951,0.5996,0.3199
"Gaia DR3 66714384142368256",66714384142368256,56.87125084725649,24.10493447522506,,,,,2.896132,0.14834332,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66714418501518848",66714418501518848,56.87239647545671,24.114112461279156,7.311236732528621,20.936026699698907,-44.53787427995938,0.9165302,16.843014,2.087882,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,3233.0422,4.9283,0.0328,142.3917,0.5039,0.3143,0.2156
"Gaia DR3 66714452859095296",66714452859095296,56.851673685586746,24.104913642144737,-0.5476448036191269,0.275825222151614,-0.6936011405633985,1.0841254,19.414461,0.8743801,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66714487218820864",66714487218820864,56.862712615758774,24.121038791713346,0.14501306408146952,3.216514120697685,-3.592202721358418,0.89335585,19.317068,1.3845158,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715071335244032",66715071335244032,56.818379129009486,24.102802926171606,,,,,20.901878,2.0522614,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715071336552320",66715071336552320,56.82506416684544,24.100597656717632,2.4058092071963655,34.69552993117847,-37.6928547992201,1.020617,14.361165,1.2281084,48.83593,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5344.9766,4.5902,-0.576,393.5289,0.7224,0.5786,0.3112
"Gaia DR3 66715105694123520",66715105694123520,56.82982016982982,24.118065523980025,-0.696621516812985,0.28801054024753847,-5.201739220600197,0.91004306,19.548359,1.0543308,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715105694124928",66715105694124928,56.82503612242155,24.114325760097955,0.25439801179907295,-3.2464342513880906,-9.691188491298377,1.089489,19.925125,2.493578,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715105696289024",66715105696289024,56.837760020213594,24.116067483641807,7.199902345703015,20.344160878448307,-45.07643568357508,1.157944,6.29883,0.009374142,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,10292.973,3.9139,-0.9554,138.3649,0.1123,0.1086,0.0578
